year,round,match_no,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url,goals,substitutions,injuries_or_cooling
2018,Group G,30,2018-06-24,15:00,Nizhny Novgorod Stadium,Nizhny Novgorod,England,Panama,6,1,False,43319,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G,7,,Kane hat-trick; Panama scored their first-ever World Cup goal
2018,Group H,31,2018-06-24,20:00,Yekaterinburg Arena,Yekaterinburg,Japan,Senegal,2,2,False,32572,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H,4,,
2018,Group H,32,2018-06-24,21:00,Kazan Arena,Kazan,Poland,Colombia,0,3,False,42873,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H,3,,Abel Aguilar (Colombia) taken off on a stretcher in the 32nd minute
2018,Group A,33,2018-06-25,17:00,Volgograd Arena,Volgograd,Saudi Arabia,Egypt,2,1,False,36823,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A,3,,"Essam El Hadary (Egypt), age 45, became the oldest player in World Cup history"
2018,Group A,34,2018-06-25,18:00,Samara Arena,Samara,Uruguay,Russia,3,0,False,41970,2,1,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A,3,,Igor Smolnikov (Russia) sent off for a second yellow in the 36th minute
2018,Group B,35,2018-06-25,21:00,Mordovia Arena,Saransk,Iran,Portugal,1,1,False,41685,6,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B,2,,
2018,Group B,36,2018-06-25,20:00,Kaliningrad Stadium,Kaliningrad,Spain,Morocco,2,2,False,33973,6,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B,4,,
2018,Group C,37,2018-06-26,17:00,Luzhniki Stadium,Moscow,Denmark,France,0,0,False,78011,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,0,,Only goalless draw of the tournament
2018,Group C,38,2018-06-26,17:00,Fisht Olympic Stadium,Sochi,Australia,Peru,0,2,False,44073,6,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C,2,,
2018,Group D,39,2018-06-26,21:00,Saint Petersburg Stadium,Saint Petersburg,Nigeria,Argentina,1,2,False,64468,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D,3,,
2018,Group D,40,2018-06-26,21:00,Rostov Arena,Rostov-on-Don,Iceland,Croatia,1,2,False,43472,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D,3,,
2018,Group F,41,2018-06-27,17:00,Kazan Arena,Kazan,South Korea,Germany,2,0,False,41835,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F,2,,Defending champions Germany eliminated
2018,Group F,42,2018-06-27,19:00,Yekaterinburg Arena,Yekaterinburg,Mexico,Sweden,0,3,False,33061,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F,3,,"Jesus Gallardo (Mexico) booked after 15 seconds, the fastest yellow card in World Cup history"
2018,Group E,43,2018-06-27,21:00,Otkritie Arena,Moscow,Serbia,Brazil,0,2,False,44190,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E,2,,
2018,Group E,44,2018-06-27,21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Switzerland,Costa Rica,2,2,False,43319,6,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E,4,,
2018,Group H,45,2018-06-28,17:00,Volgograd Arena,Volgograd,Japan,Poland,0,1,False,42189,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H,1,,
2018,Group H,46,2018-06-28,18:00,Samara Arena,Samara,Senegal,Colombia,0,1,False,41970,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H,1,,Senegal eliminated on the fair-play (fewer yellow cards) tiebreaker
2018,Group G,47,2018-06-28,20:00,Kaliningrad Stadium,Kaliningrad,England,Belgium,0,1,False,33973,2,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G,1,,
2018,Group G,48,2018-06-28,21:00,Mordovia Arena,Saransk,Panama,Tunisia,1,2,False,37168,6,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G,3,,
2018,Round of 16,49,2018-06-30,17:00,Kazan Arena,Kazan,France,Argentina,4,3,False,42873,8,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,7,,
2018,Round of 16,50,2018-06-30,21:00,Fisht Olympic Stadium,Sochi,Uruguay,Portugal,2,1,False,44287,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,3,,
2018,Round of 16,51,2018-07-01,17:00,Luzhniki Stadium,Moscow,Spain,Russia,1,1,True,78011,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,1-1 after extra time; Russia advanced 4-3 on penalties
2018,Round of 16,52,2018-07-01,21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Croatia,Denmark,1,1,True,40851,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,1-1 after extra time; Croatia advanced 3-2 on penalties
2018,Round of 16,53,2018-07-02,18:00,Samara Arena,Samara,Brazil,Mexico,2,0,False,41970,6,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,
2018,Round of 16,54,2018-07-02,21:00,Rostov Arena,Rostov-on-Don,Belgium,Japan,3,2,False,41466,1,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,5,,Belgium came back from 2-0 down; Chadli scored in the 94th minute
2018,Round of 16,55,2018-07-03,17:00,Saint Petersburg Stadium,Saint Petersburg,Sweden,Switzerland,1,0,False,64042,3,1,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,1,,Michael Lang (Switzerland) shown a straight red in stoppage time
2018,Round of 16,56,2018-07-03,21:00,Otkritie Arena,Moscow,Colombia,England,1,1,True,44190,8,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,1-1 after extra time; England advanced 4-3 on penalties; ill-tempered match
2018,Quarter-final,57,2018-07-06,17:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Uruguay,France,0,2,False,43319,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,
2018,Quarter-final,58,2018-07-06,21:00,Kazan Arena,Kazan,Brazil,Belgium,1,2,False,42873,4,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,3,,
2018,Quarter-final,59,2018-07-07,18:00,Samara Arena,Samara,Sweden,England,0,2,False,39991,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,
2018,Quarter-final,60,2018-07-07,21:00,Fisht Olympic Stadium,Sochi,Russia,Croatia,2,2,True,44287,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,4,,2-2 after extra time; Croatia advanced 4-3 on penalties
2018,Semi-final,61,2018-07-10,21:00,Saint Petersburg Stadium,Saint Petersburg,France,Belgium,1,0,False,64286,5,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,1,,
2018,Semi-final,62,2018-07-11,21:00,Luzhniki Stadium,Moscow,Croatia,England,2,1,True,78011,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,3,,2-1 after extra time
2018,Third place,63,2018-07-14,17:00,Saint Petersburg Stadium,Saint Petersburg,Belgium,England,2,0,False,64406,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_knockout_stage,2,,
2018,Final,64,2018-07-15,18:00,Luzhniki Stadium,Moscow,France,Croatia,4,2,False,78011,3,0,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_final,6,,Kickoff conditions ~27C and 51% humidity; a thunderstorm with visible lightning occurred around the trophy ceremony
